-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3655e+07
-5300,9.3654e+07
-5300,9.3654e+07
-5300,9.3654e+07
-5299.9,9.3652e+07
-5299.8,9.365e+07
-5299.8,9.3648e+07
-5299,9.3629e+07
-5298.3,9.361e+07
-5297.5,9.3591e+07
-5290.8,9.3421e+07
-5284.1,9.325e+07
-5277.5,9.308e+07
-5270.8,9.291e+07
-5248.7,9.2346e+07
-5226.6,9.1782e+07
-5204.5,9.1219e+07
-5182.4,9.0655e+07
-5134.7,8.9441e+07
-5087.1,8.8228e+07
-5039.5,8.7014e+07
-4991.9,8.58e+07
-4944.3,8.4586e+07
-4844.5,8.2042e+07
-4744.7,7.9496e+07
-4644.9,7.6948e+07
-4545.1,7.4398e+07
-4462.3,7.2279e+07
-4379.5,7.0158e+07
-4296.7,6.8031e+07
-4213.9,6.59e+07
-4145.3,6.4127e+07
-4076.6,6.2349e+07
-4008,6.0565e+07
-3939.3,5.8772e+07
-3870.7,5.697e+07
-3816.3,5.5535e+07
-3761.9,5.4091e+07
-3707.5,5.2638e+07
-3653.1,5.1175e+07
-3608,4.9952e+07
-3563,4.872e+07
-3517.9,4.7477e+07
-3472.8,4.6221e+07
-3436.2,4.5192e+07
-3399.6,4.4152e+07
-3363,4.31e+07
-3326.4,4.2035e+07
-3297.8,4.1193e+07
-3269.1,4.034e+07
-3240.5,3.9476e+07
-3211.9,3.86e+07
-3183.3,3.7711e+07
-3154.7,3.6806e+07
-3131.9,3.6073e+07
-3109.1,3.5327e+07
-3086.3,3.4569e+07
-3063.5,3.3795e+07
-3044.8,3.3151e+07
-3030.3,3.2639e+07
-3015.7,3.212e+07
-3010.4,3.1926e+07
-3005,3.1731e+07
-2999.6,3.1535e+07
-2994.3,3.1338e+07
-2988.9,3.1139e+07
-2983.6,3.0939e+07
-2973.6,3.0564e+07
-2963.6,3.0184e+07
-2953.7,2.9798e+07
-2943.7,2.9406e+07
-2933.8,2.9008e+07
-2923.8,2.8603e+07
-2913.1,2.816e+07
-2902.4,2.7709e+07
-2891.7,2.7247e+07
-2881,2.6774e+07
-2870.3,2.629e+07
-2866.5,2.6114e+07
-2862.7,2.5935e+07
-2858.8,2.5755e+07
-2855,2.5573e+07
-2851.1,2.539e+07
-2847.3,2.5204e+07
-2841.9,2.4938e+07
-2836.5,2.4668e+07
-2831.1,2.4393e+07
-2825.7,2.4114e+07
-2820.2,2.3829e+07
-2814.8,2.3539e+07
-2807.5,2.3136e+07
-2801.7,2.2807e+07
-2795.8,2.247e+07
-2790,2.2124e+07
-2785.4,2.1847e+07
-2780.8,2.1562e+07
-2776.2,2.1272e+07
-2771.6,2.0973e+07
-2767.1,2.0667e+07
-2762.5,2.0353e+07
-2757.8,2.0019e+07
-2753,1.9675e+07
-2748.3,1.9319e+07
-2744.5,1.9018e+07
-2740.6,1.8707e+07
-2736.8,1.8386e+07
-2732.9,1.8053e+07
-2729.8,1.7777e+07
-2726.7,1.7491e+07
-2723.6,1.7196e+07
-2720.5,1.6889e+07
-2718,1.6637e+07
-2715.5,1.6376e+07
-2713.1,1.6106e+07
-2710.6,1.5826e+07
-2708.1,1.5534e+07
-2707.3,1.5437e+07
-2706.5,1.5339e+07
-2705.7,1.5239e+07
-2704.9,1.5138e+07
-2704.1,1.5036e+07
-2703.3,1.4931e+07
-2701.9,1.4737e+07
-2700.4,1.4537e+07
-2699,1.4331e+07
-2697.5,1.4118e+07
-2696.1,1.3897e+07
-2694.6,1.3668e+07
-2693.1,1.343e+07
-2691.7,1.3181e+07
-2690.5,1.2974e+07
-2689.4,1.2759e+07
-2688.2,1.2535e+07
-2687,1.2302e+07
-2686.1,1.2108e+07
-2685.2,1.1906e+07
-2684.2,1.1696e+07
-2683.3,1.1477e+07
-2682.6,1.1294e+07
-2681.8,1.1104e+07
-2681.1,1.0906e+07
-2680.3,1.0699e+07
-2679.7,1.0524e+07
-2679.1,1.0342e+07
-2678.6,1.0184e+07
-2678.1,1.002e+07
-2677.6,9.8496e+06
-2677.5,9.7883e+06
-2677.3,9.726e+06
-2677.1,9.6628e+06
-2676.9,9.5985e+06
-2676.8,9.5332e+06
-2676.6,9.4667e+06
-2676.3,9.3709e+06
-2676.1,9.2725e+06
-2675.8,9.1715e+06
-2675.6,9.0677e+06
-2675.4,8.9609e+06
-2675.1,8.8508e+06
-2674.8,8.7083e+06
-2674.5,8.5598e+06
-2674.2,8.4046e+06
-2673.9,8.2419e+06
-2673.6,8.1052e+06
-2673.4,7.9625e+06
-2673.1,7.8131e+06
-2672.9,7.6562e+06
-2672.7,7.5303e+06
-2672.5,7.3988e+06
-2672.3,7.2612e+06
-2672.1,7.1167e+06
-2672,6.9988e+06
-2671.8,6.8756e+06
-2671.7,6.7465e+06
-2671.6,6.6343e+06
-2671.4,6.5171e+06
-2671.4,6.5055e+06
-2671.4,6.5033e+06
-2671.4,6.5033e+06
-2671.4,6.5033e+06
-2671.4,6.5033e+06
-2671.4,6.5033e+06
-2671.4,6.5033e+06
