-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5300,38125
-5299.9,38127
-5299.8,38128
-5299.8,38130
-5299,38146
-5298.3,38162
-5297.5,38178
-5290.8,38323
-5284.1,38468
-5277.5,38615
-5270.8,38762
-5248.7,39254
-5226.6,39757
-5204.5,40269
-5182.4,40791
-5134.7,41950
-5087.1,43160
-5039.5,44424
-4991.9,45744
-4944.3,47125
-4844.5,50233
-4744.7,53664
-4644.9,57465
-4545.1,61693
-4462.3,65574
-4379.5,69843
-4296.7,74558
-4213.9,79784
-4145.3,84564
-4076.6,89807
-4008,95579
-3939.3,1.0196e+05
-3870.7,1.0904e+05
-3816.3,1.1523e+05
-3761.9,1.2201e+05
-3707.5,1.2945e+05
-3653.1,1.3766e+05
-3608,1.4513e+05
-3563,1.533e+05
-3517.9,1.6226e+05
-3472.8,1.7214e+05
-3436.2,1.8092e+05
-3399.6,1.905e+05
-3363,2.0097e+05
-3326.4,2.1249e+05
-3297.8,2.2231e+05
-3269.1,2.3296e+05
-3240.5,2.4454e+05
-3211.9,2.5719e+05
-3183.3,2.7106e+05
-3154.7,2.8635e+05
-3131.9,2.997e+05
-3109.1,3.1424e+05
-3086.3,3.3015e+05
-3063.5,3.4763e+05
-3044.8,3.6326e+05
-3030.3,3.7643e+05
-3015.7,3.9054e+05
-3010.4,3.96e+05
-3005,4.0161e+05
-2999.6,4.0737e+05
-2994.3,4.133e+05
-2988.9,4.1939e+05
-2983.6,4.2566e+05
-2973.6,4.3781e+05
-2963.6,4.5065e+05
-2953.7,4.6426e+05
-2943.7,4.787e+05
-2933.8,4.9407e+05
-2923.8,5.1045e+05
-2913.1,5.2932e+05
-2902.4,5.4965e+05
-2891.7,5.7163e+05
-2881,5.9549e+05
-2870.3,6.2149e+05
-2866.5,6.3139e+05
-2862.7,6.4162e+05
-2858.8,6.522e+05
-2855,6.6315e+05
-2851.1,6.745e+05
-2847.3,6.8625e+05
-2841.9,7.036e+05
-2836.5,7.219e+05
-2831.1,7.4123e+05
-2825.7,7.6169e+05
-2820.2,7.8339e+05
-2814.8,8.0645e+05
-2807.5,8.4017e+05
